term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
coming,0.0019775395155204076,0.6192505709024304,38,6,0.11618373495490934,-0.045192370808029764,6,6,3,4,2,5,6,6,"KPop Demon Hunters:6, Whiplash:6, Red Notice:6",평가/추천/강한 호평
sing,0.001962989701059168,0.8661243583353866,19,0,0.0877732397863493,0.09357651995275794,18,1,0,0,0,0,0,0,"KPop Demon Hunters:18, Whiplash:1",평가/추천/강한 호평
ages,0.001924875152107676,1.0,18,0,0.08559340914933176,0.029515865802502893,5,1,2,0,1,8,1,0,"GOAT:8, KPop Demon Hunters:5, Everything Everywhere All at Once:2",평가/추천/강한 호평
superb,0.0018615347767561498,0.8983170798423394,25,5,0.11512012243460995,-0.01887350023379527,3,9,7,1,2,1,2,0,"Whiplash:9, Everything Everywhere All at Once:7, KPop Demon Hunters:3",평가/추천/강한 호평
cinematic,0.0018531271194275024,0.6293711514760074,33,5,0.0824520978016823,-0.05145802224427125,0,12,8,4,3,1,2,3,"Whiplash:12, Everything Everywhere All at Once:8, Apex:4",평가/추천/강한 호평
kid,0.0018520316414203178,0.7057791413859936,24,6,0.11330829680116355,0.01663461879356446,6,5,2,0,0,10,0,1,"GOAT:10, KPop Demon Hunters:6, Whiplash:5",평가/추천/강한 호평
visual,0.0018412191325981701,0.4053189407620385,42,6,0.10071491955582346,-0.03847496006970338,6,4,7,3,9,8,4,1,"F1 The Movie:9, GOAT:8, Everything Everywhere All at Once:7",평가/추천/강한 호평
tell,0.001825347593409578,0.46175506839834657,34,5,0.11791877287242322,0.003925951402277644,5,5,7,1,3,2,6,5,"Everything Everywhere All at Once:7, Red Notice:6, KPop Demon Hunters:5",평가/추천/강한 호평
finally,0.001820979838819513,0.691141032629289,34,0,0.10383064528801741,-0.05313096082986443,8,6,3,3,4,0,6,4,"KPop Demon Hunters:8, Whiplash:6, Red Notice:6",평가/추천/강한 호평
flick,0.0017890399301496332,0.6712161478551151,25,6,0.08053571539488487,-0.013320452318873367,1,1,1,7,1,2,9,3,"Red Notice:9, Apex:7, Don't Look Up:3",평가/추천/강한 호평
surprisingly,0.0017542427380352627,0.572344203183251,27,6,0.11503676033527266,-0.008501250375331558,7,1,4,5,1,3,3,3,"KPop Demon Hunters:7, Apex:5, Everything Everywhere All at Once:4",평가/추천/강한 호평
moving,0.0017425765626499134,0.6867065549929273,26,5,0.06981148417038238,-0.0022704047148750643,5,6,8,2,1,2,2,0,"Everything Everywhere All at Once:8, Whiplash:6, KPop Demon Hunters:5",평가/추천/강한 호평
visually,0.0017421345374043255,0.651388431966776,29,5,0.09674416168715233,0.0015488419986102835,4,2,5,4,11,3,0,0,"F1 The Movie:11, Everything Everywhere All at Once:5, KPop Demon Hunters:4",평가/추천/강한 호평
entertained,0.0016960049960336062,0.6647032531898104,24,6,0.11501936651479285,-0.013355124559154987,2,0,3,1,4,2,9,3,"Red Notice:9, F1 The Movie:4, Everything Everywhere All at Once:3",평가/추천/강한 호평
bring,0.0016735749461586167,1.0,26,0,0.05958891061840769,-0.030928015203171434,5,5,2,1,3,2,3,5,"KPop Demon Hunters:5, Whiplash:5, Don't Look Up:5",평가/추천/강한 호평
happy,0.0016722654052527006,0.7443400918125486,30,0,0.09920134180509659,-0.05307886179958277,10,5,3,4,4,0,0,4,"KPop Demon Hunters:10, Whiplash:5, Apex:4",평가/추천/강한 호평
told,0.0016551767486043395,0.5578683070744287,27,5,0.10450101878770687,-0.002463536747603702,4,3,7,0,7,3,1,2,"Everything Everywhere All at Once:7, F1 The Movie:7, KPop Demon Hunters:4",평가/추천/강한 호평
recommended,0.0016303335738069437,0.6261047377748964,21,6,0.09127097297027471,-0.02922864334304268,3,5,3,1,2,2,5,0,"Whiplash:5, Red Notice:5, KPop Demon Hunters:3",평가/추천/강한 호평
themes,0.0016181000250084525,0.36554107735815144,33,5,0.08285169238037593,-0.029467780252618796,5,4,13,1,0,4,1,5,"Everything Everywhere All at Once:13, KPop Demon Hunters:5, Don't Look Up:5",평가/추천/강한 호평
children,0.0015913747005532435,0.6016045615121783,21,0,0.08435727468926076,0.005740700180730248,11,1,0,0,1,8,0,0,"KPop Demon Hunters:11, GOAT:8, Whiplash:1",평가/추천/강한 호평
underdog,0.0015774955374216215,0.5934820379842487,25,6,0.09594167159867201,0.014159368176481831,0,1,0,0,9,15,0,0,"GOAT:15, F1 The Movie:9, Whiplash:1",평가/추천/강한 호평
