term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
que,0.004213393668129563,0.6951758657530763,61,11,0.011969396916161699,-0.009962283285001832,6,13,12,4,8,2,6,10,"Whiplash:13, Everything Everywhere All at Once:12, Don't Look Up:10",다국어 리뷰
la,0.003967132391327276,1.0,49,11,0.04135585193140039,-0.0334353913961873,4,10,9,2,3,3,9,9,"Whiplash:10, Everything Everywhere All at Once:9, Red Notice:9",다국어 리뷰
filme,0.0031643227635055715,1.0,34,9,0.004609752112823242,-0.005126518987428737,2,7,4,4,5,0,3,9,"Don't Look Up:9, Whiplash:7, F1 The Movie:5",다국어 리뷰
pelicula,0.0026464383467675228,1.0,38,11,0.0058545988355469475,-0.00433955946894068,5,4,8,1,4,4,8,4,"Everything Everywhere All at Once:8, Red Notice:8, KPop Demon Hunters:5",다국어 리뷰
es,0.0025078038409146065,0.672648047158492,37,11,0.009572472360335873,-0.01170180560352605,6,5,10,1,4,2,6,3,"Everything Everywhere All at Once:10, KPop Demon Hunters:6, Red Notice:6",다국어 리뷰
tempo,0.0020818097996971718,0.9606854153081633,24,9,0.09797108573657753,-0.0041065486935574404,1,19,2,0,2,0,0,0,"Whiplash:19, Everything Everywhere All at Once:2, F1 The Movie:2",다국어 리뷰
una,0.002062030054364459,0.6650676501726973,28,11,0.003385821527895663,-0.0022988771632174907,6,3,4,0,3,2,4,6,"KPop Demon Hunters:6, Don't Look Up:6, Everything Everywhere All at Once:4",다국어 리뷰
en,0.001968379148430525,0.5735220557439635,28,11,0.005859473999732581,-0.007186006970572719,3,5,6,1,3,2,3,5,"Everything Everywhere All at Once:6, Whiplash:5, Don't Look Up:5",다국어 리뷰
final,0.0017282769707148327,0.45918645022090493,46,11,0.05597600855390478,-0.041837003838047095,4,15,2,6,10,1,4,4,"Whiplash:15, F1 The Movie:10, Apex:6",다국어 리뷰
um,0.0015277769983784303,0.7418937605039213,18,9,0.00316304767132347,-0.0016414079171724325,1,6,2,2,2,1,2,2,"Whiplash:6, Everything Everywhere All at Once:2, Apex:2",다국어 리뷰
se,0.0014088474398822569,0.41996393866648196,30,11,0.012259558502024148,-0.007893180995528055,3,4,5,2,7,1,4,4,"F1 The Movie:7, Everything Everywhere All at Once:5, Whiplash:4",다국어 리뷰
el,0.0013456878027352263,0.4893536508999095,20,11,0.003441536584293521,-0.002839057630114084,2,2,4,0,3,1,5,3,"Red Notice:5, Everything Everywhere All at Once:4, F1 The Movie:3",다국어 리뷰
na,0.0012569555437348602,1.0,13,9,0.008256118994113833,-0.006595434824433923,0,4,1,1,2,0,0,5,"Don't Look Up:5, Whiplash:4, F1 The Movie:2",다국어 리뷰
muy,0.001256429627816889,0.43918170015532093,22,11,0.002288207239221633,-0.0015460783311087593,3,1,4,1,2,2,5,4,"Red Notice:5, Everything Everywhere All at Once:4, Don't Look Up:4",다국어 리뷰
uma,0.001203566904995472,0.5592443515158263,17,9,0.0021595406182662916,-0.0030390585800327045,2,4,1,3,1,0,1,5,"Don't Look Up:5, Whiplash:4, Apex:3",다국어 리뷰
da,0.0012032878458295244,0.43660401940237464,21,9,0.008585067375703,-0.007501535933200649,2,8,1,1,1,1,4,3,"Whiplash:8, Red Notice:4, Don't Look Up:3",다국어 리뷰
para,0.0012016275735573314,0.47764498262986876,24,9,0.0034582680044368545,-0.0020817699857398416,1,3,2,1,4,3,4,6,"Don't Look Up:6, F1 The Movie:4, Red Notice:4",다국어 리뷰
esta,0.0011027502253629945,0.4381273876032512,22,11,0.003350115459487545,-0.0010025934384934323,3,4,3,2,3,3,2,2,"Whiplash:4, KPop Demon Hunters:3, Everything Everywhere All at Once:3",다국어 리뷰
al,0.001036023171293896,0.609476123376648,19,11,0.00706188416724066,-0.00802697558613435,3,2,3,1,3,1,3,3,"KPop Demon Hunters:3, Everything Everywhere All at Once:3, F1 The Movie:3",다국어 리뷰
buena,0.001028002440346888,0.5178056866178952,14,11,0.0013977084227588862,-0.0011443789440117032,1,0,2,1,2,0,3,5,"Don't Look Up:5, Red Notice:3, Everything Everywhere All at Once:2",다국어 리뷰
bom,0.0010130071793844084,0.9065618517898238,13,9,0.0014106385147593166,-0.0012346660104968399,1,2,0,1,4,0,2,3,"F1 The Movie:4, Don't Look Up:3, Whiplash:2",다국어 리뷰
mas,0.0010105963310525516,0.42225381449203125,25,9,0.0020540600962952677,-0.0020777202539742352,3,4,2,2,4,2,4,4,"Whiplash:4, F1 The Movie:4, Red Notice:4",다국어 리뷰
em,0.0009999226434468714,0.5388883624371497,18,9,0.010218564859714232,-0.004616028605433793,0,6,2,2,2,0,3,3,"Whiplash:6, Red Notice:3, Don't Look Up:3",다국어 리뷰
com,0.0009452874590677241,0.545764095335099,15,9,0.004613855680720542,-0.004051193571391222,1,4,1,0,6,0,1,2,"F1 The Movie:6, Whiplash:4, Don't Look Up:2",다국어 리뷰
pero,0.0009258870279955507,0.4857191641750052,17,11,0.002218030169565864,-0.0012684820629084966,3,1,4,0,1,1,4,3,"Everything Everywhere All at Once:4, Red Notice:4, KPop Demon Hunters:3",다국어 리뷰
just,0.022431693059440226,0.724748534939701,567,13,1.5484253213487789,-1.340204711816182,58,65,101,88,63,42,82,68,"Everything Everywhere All at Once:101, Apex:88, Red Notice:82",부정평/실망/과대평가
best,0.01691135195275276,0.970827783886184,310,10,1.1868872805700599,-1.4829264237042146,51,78,46,18,40,20,25,32,"Whiplash:78, KPop Demon Hunters:51, Everything Everywhere All at Once:46",부정평/실망/과대평가
time,0.016306195070463693,0.6435432498544812,387,10,1.1297623810478181,-0.7474156127251954,40,65,70,52,28,27,61,44,"Everything Everywhere All at Once:70, Whiplash:65, Red Notice:61",부정평/실망/과대평가
bad,0.011294410381160826,0.8080853034796792,208,2,0.7088160464870911,-0.48036057389851783,26,12,22,47,23,7,42,29,"Apex:47, Red Notice:42, Don't Look Up:29",부정평/실망/과대평가
seen,0.010603574698815326,0.6226319490212225,212,10,0.672812974578564,-0.8558886042875371,24,37,54,22,19,12,23,21,"Everything Everywhere All at Once:54, Whiplash:37, KPop Demon Hunters:24",부정평/실망/과대평가
way,0.01031210145448478,0.6274891553626548,251,2,0.6496086305709002,-0.3276117633952703,23,34,41,37,26,15,32,43,"Don't Look Up:43, Everything Everywhere All at Once:41, Apex:37",부정평/실망/과대평가
ve,0.010145884444698782,0.5626412871298199,217,10,0.6379132467821401,-0.6872371630344264,18,38,53,28,21,14,21,24,"Everything Everywhere All at Once:53, Whiplash:38, Apex:28",부정평/실망/과대평가
watched,0.0093835853639627,1.0,164,13,0.5831057786938875,-0.4163913336147545,28,28,32,21,16,9,14,16,"Everything Everywhere All at Once:32, KPop Demon Hunters:28, Whiplash:28",부정평/실망/과대평가
did,0.009374882789578255,0.6783653055766532,218,13,0.667645406492985,-0.19591381860641033,19,19,32,34,35,21,19,39,"Don't Look Up:39, F1 The Movie:35, Apex:34",부정평/실망/과대평가
predictable,0.00881294071841804,0.7137538098488366,173,13,0.47884383342497355,-0.24485766253550248,8,4,3,61,51,15,30,1,"Apex:61, F1 The Movie:51, Red Notice:30",부정평/실망/과대평가
pretty,0.00875360041178467,0.7995959244855158,157,2,0.6233541038533233,-0.19876100486987472,18,12,9,26,17,27,28,20,"Red Notice:28, GOAT:27, Apex:26",부정평/실망/과대평가
make,0.008727237380246302,0.5264524857248061,211,2,0.5314843762227007,-0.32391198791194936,19,30,34,29,32,8,32,27,"Everything Everywhere All at Once:34, F1 The Movie:32, Red Notice:32",부정평/실망/과대평가
thought,0.008724851095467358,0.6473641096217994,172,10,0.598084021214663,-0.129101190915989,17,16,23,29,19,17,23,28,"Apex:29, Don't Look Up:28, Everything Everywhere All at Once:23",부정평/실망/과대평가
absolutely,0.00826018226399792,0.9284624893811008,134,13,0.5143198445722515,0.0658867549284056,18,21,22,15,18,22,6,12,"Everything Everywhere All at Once:22, GOAT:22, Whiplash:21",부정평/실망/과대평가
actors,0.007337725342298737,0.41420507379964294,167,2,0.4626076521302364,-0.09705153758842501,2,16,11,36,18,4,48,32,"Red Notice:48, Apex:36, Don't Look Up:32",부정평/실망/과대평가
long,0.006921770121311454,0.6605387342752936,129,10,0.4312010258609392,-0.28167371796966045,13,10,23,8,29,8,10,28,"F1 The Movie:29, Don't Look Up:28, Everything Everywhere All at Once:23",부정평/실망/과대평가
life,0.006804172519117923,0.5275257498960634,158,10,0.40598503670271163,-0.1822443999433956,7,34,44,14,12,6,8,33,"Everything Everywhere All at Once:44, Whiplash:34, Don't Look Up:33",부정평/실망/과대평가
boring,0.00668252988611715,1.0,101,13,0.3313171446324006,-0.22278489742793692,7,3,13,25,22,4,20,7,"Apex:25, F1 The Movie:22, Red Notice:20",부정평/실망/과대평가
got,0.005812629239933325,0.7675321104810489,120,10,0.32662159768822546,-0.13669056471069885,13,6,13,17,18,14,19,20,"Don't Look Up:20, Red Notice:19, F1 The Movie:18",부정평/실망/과대평가
going,0.005550075843676614,0.5424312440600337,121,10,0.3198362694294685,-0.16316578260075937,11,6,19,23,18,9,16,19,"Apex:23, Everything Everywhere All at Once:19, Don't Look Up:19",부정평/실망/과대평가
say,0.005495997660909494,1.0,115,10,0.3238137330879884,-0.1731873524449807,15,21,24,11,9,9,10,16,"Everything Everywhere All at Once:24, Whiplash:21, Don't Look Up:16",부정평/실망/과대평가
storyline,0.0053690801597813045,0.6355021922395898,84,13,0.3399167321107199,0.046307263936907074,13,2,10,12,13,18,8,8,"GOAT:18, KPop Demon Hunters:13, F1 The Movie:13",부정평/실망/과대평가
worst,0.005292179279356846,0.7819505362640093,75,10,0.2821513216639359,-0.29888773989720113,9,3,18,12,5,1,11,16,"Everything Everywhere All at Once:18, Don't Look Up:16, Apex:12",부정평/실망/과대평가
films,0.004992054285948288,0.7914779430168011,108,10,0.25053561707315974,-0.23237277386930952,11,19,22,11,10,13,10,12,"Everything Everywhere All at Once:22, Whiplash:19, GOAT:13",부정평/실망/과대평가
terrible,0.004564168162815397,0.9595613937376071,70,13,0.21955447524354,-0.16521574543513273,3,3,7,19,15,2,10,11,"Apex:19, F1 The Movie:15, Don't Look Up:11",부정평/실망/과대평가
start,0.004484928358672429,0.6840746625275796,78,13,0.23302731817610853,-0.10059508651732664,6,14,7,15,18,5,7,6,"F1 The Movie:18, Apex:15, Whiplash:14",부정평/실망/과대평가
sure,0.004445093792830563,0.6626551148126992,87,10,0.27407424665193275,-0.1431025978013366,8,7,14,15,9,5,16,13,"Red Notice:16, Apex:15, Everything Everywhere All at Once:14",부정평/실망/과대평가
finish,0.0044406455144447325,0.7826782673467022,56,13,0.21031620824358982,-0.061708585684028615,4,10,5,12,12,5,6,2,"Apex:12, F1 The Movie:12, Whiplash:10",부정평/실망/과대평가
script,0.004347595703397132,0.4715280834241598,89,2,0.2046274479206669,-0.1210272941931144,2,16,4,14,19,1,21,12,"Red Notice:21, F1 The Movie:19, Whiplash:16",부정평/실망/과대평가
actually,0.004341248370602007,0.550623579614727,98,2,0.3058949406399222,-0.09195257159005778,12,9,10,14,15,11,14,13,"F1 The Movie:15, Apex:14, Red Notice:14",부정평/실망/과대평가
thing,0.004209132593222525,0.3918173448799276,97,2,0.25063665834419296,-0.12189250315531293,18,10,10,16,7,12,11,13,"KPop Demon Hunters:18, Apex:16, Don't Look Up:13",부정평/실망/과대평가
stars,0.004117398803934114,0.6152653143663125,83,2,0.26773085751932263,-0.057921136944758415,9,6,9,18,9,6,16,10,"Apex:18, Red Notice:16, Don't Look Up:10",부정평/실망/과대평가
probably,0.004087621793381545,0.4806511448769313,79,10,0.24994928375697767,-0.10487248396264719,10,6,13,10,13,5,7,15,"Don't Look Up:15, Everything Everywhere All at Once:13, F1 The Movie:13",부정평/실망/과대평가
ok,0.004065160914476747,0.9477590635319753,58,13,0.24469826459012997,-0.12316772612623884,7,1,8,19,4,6,8,5,"Apex:19, Everything Everywhere All at Once:8, Red Notice:8",부정평/실망/과대평가
writing,0.0038570301145928088,0.4749487217796439,76,2,0.21810575240852653,-0.1278819999308604,6,9,9,14,6,0,15,17,"Don't Look Up:17, Red Notice:15, Apex:14",부정평/실망/과대평가
understand,0.0038305352209288563,0.5759644669344298,73,10,0.215576134872877,-0.11049191753579106,4,6,23,11,10,4,9,6,"Everything Everywhere All at Once:23, Apex:11, F1 The Movie:10",부정평/실망/과대평가
horrible,0.0037838765942714418,1.0,45,10,0.17641636250350015,-0.11132967980314884,5,2,6,11,4,2,9,6,"Apex:11, Red Notice:9, Everything Everywhere All at Once:6",부정평/실망/과대평가
oscar,0.003609853438214633,0.7464751711143105,69,10,0.1673796334374132,-0.10991906794142099,5,19,28,2,9,0,1,5,"Everything Everywhere All at Once:28, Whiplash:19, F1 The Movie:9",부정평/실망/과대평가
years,0.003592209282037991,0.5065736180449889,70,10,0.18586029615867122,-0.1595981215125134,7,18,16,4,8,2,6,9,"Whiplash:18, Everything Everywhere All at Once:16, Don't Look Up:9",부정평/실망/과대평가
sense,0.0035824656265740474,0.680972044100764,77,2,0.20967222547668776,-0.10197734059447762,3,9,18,21,4,1,7,14,"Apex:21, Everything Everywhere All at Once:18, Don't Look Up:14",부정평/실망/과대평가
stupid,0.0033765422697919273,0.714733659105741,50,2,0.15205295601894173,-0.12236818702366807,1,0,5,19,5,1,6,13,"Apex:19, Don't Look Up:13, Red Notice:6",부정평/실망/과대평가
main,0.003306452542586281,0.4161700532311304,77,2,0.20127362762345735,-0.0460382040415936,10,15,10,13,4,6,9,10,"Whiplash:15, Apex:13, KPop Demon Hunters:10",부정평/실망/과대평가
waste,0.0033037653659847136,0.5418501849521029,57,10,0.1797740740730992,-0.17225582870994544,1,2,9,20,2,0,16,7,"Apex:20, Red Notice:16, Everything Everywhere All at Once:9",부정평/실망/과대평가
dumb,0.003290685381635532,0.894625171965044,40,13,0.17038330016755635,-0.11670620094203465,4,2,1,9,0,1,19,4,"Red Notice:19, Apex:9, KPop Demon Hunters:4",부정평/실망/과대평가
completely,0.0032779361541437433,0.6021896357305773,61,10,0.19628962587510085,-0.06983960083541452,10,8,10,7,13,2,6,5,"F1 The Movie:13, KPop Demon Hunters:10, Everything Everywhere All at Once:10",부정평/실망/과대평가
far,0.0031674922768182533,0.750791968871533,70,10,0.1810419844666781,-0.15076172803110865,4,15,15,7,8,3,6,12,"Whiplash:15, Everything Everywhere All at Once:15, Don't Look Up:12",부정평/실망/과대평가
reviews,0.00310315413074642,0.4606626972004534,57,10,0.18823037396864706,-0.07098924076798595,1,2,18,8,5,4,8,11,"Everything Everywhere All at Once:18, Don't Look Up:11, Apex:8",부정평/실망/과대평가
hours,0.00306058905676571,0.5776302904234208,56,10,0.16536393086720722,-0.1098985267136678,0,1,19,4,9,1,8,14,"Everything Everywhere All at Once:19, Don't Look Up:14, F1 The Movie:9",부정평/실망/과대평가
jokes,0.0029870214860919756,0.5429937679474002,56,2,0.18422806349549353,-0.08024692147831106,7,0,4,0,0,6,27,12,"Red Notice:27, Don't Look Up:12, KPop Demon Hunters:7",부정평/실망/과대평가
ridiculous,0.0029852104867085366,0.9214341008573252,39,13,0.12581531285329417,-0.06542040874780362,1,2,10,5,4,0,7,10,"Everything Everywhere All at Once:10, Don't Look Up:10, Red Notice:7",부정평/실망/과대평가
literally,0.002880894692953787,0.5780223535387903,47,13,0.1761307481372267,-0.09262970240477547,8,4,9,7,5,2,6,6,"Everything Everywhere All at Once:9, KPop Demon Hunters:8, Apex:7",부정평/실망/과대평가
half,0.002864047278925159,0.7233812806167623,55,2,0.15910703328352943,-0.11224109909633717,6,4,4,10,6,4,8,13,"Don't Look Up:13, Apex:10, Red Notice:8",부정평/실망/과대평가
overrated,0.0028507738210682434,0.8874199752660382,36,13,0.12151706555045974,-0.09238588540288481,13,2,16,0,2,1,2,0,"Everything Everywhere All at Once:16, KPop Demon Hunters:13, Whiplash:2",부정평/실망/과대평가
couldn,0.0028170182125267667,0.5858009179170447,45,13,0.13693623090778703,-0.13103172897796733,2,3,12,14,5,2,4,3,"Apex:14, Everything Everywhere All at Once:12, F1 The Movie:5",부정평/실망/과대평가
second,0.0027634694835726842,0.5896116563424159,50,10,0.16384115714661518,-0.08510181476026449,15,5,8,5,2,2,7,6,"KPop Demon Hunters:15, Everything Everywhere All at Once:8, Red Notice:7",부정평/실망/과대평가
okay,0.0027466898806761983,0.956657945454285,33,10,0.1608837306945026,-0.10409821188704683,7,4,3,2,6,2,7,2,"KPop Demon Hunters:7, Red Notice:7, F1 The Movie:6",부정평/실망/과대평가
yes,0.0027252391069054506,0.5393894400824429,48,2,0.14303566678292007,-0.09199776076908336,5,5,6,6,5,3,11,7,"Red Notice:11, Don't Look Up:7, Everything Everywhere All at Once:6",부정평/실망/과대평가
hype,0.0027015562398679644,0.90485277594279,38,13,0.14540417656473717,-0.0005164238685251818,17,3,10,3,2,2,0,1,"KPop Demon Hunters:17, Everything Everywhere All at Once:10, Whiplash:3",부정평/실망/과대평가
said,0.00268663718033741,0.7222584618552411,60,10,0.15840017187141128,-0.10153559925553303,11,9,9,6,8,4,5,8,"KPop Demon Hunters:11, Whiplash:9, Everything Everywhere All at Once:9",부정평/실망/과대평가
came,0.002656192817924394,0.561885335361938,49,10,0.14865537773338933,-0.07781831832226287,11,4,9,5,5,5,5,5,"KPop Demon Hunters:11, Everything Everywhere All at Once:9, Apex:5",부정평/실망/과대평가
come,0.002617247940817216,0.5724157883008133,60,2,0.1460132834573077,-0.06668206464560053,6,9,9,11,6,3,6,10,"Apex:11, Don't Look Up:10, Whiplash:9",부정평/실망/과대평가
wow,0.0025679270911221296,0.9805117139763092,30,13,0.12034306834210738,-0.08309522955848464,4,6,7,2,5,2,2,2,"Everything Everywhere All at Once:7, Whiplash:6, F1 The Movie:5",부정평/실망/과대평가
honestly,0.002556459156356008,0.46879705627249485,52,2,0.1623072712761057,-0.08797372396147776,7,2,6,13,3,9,6,6,"Apex:13, GOAT:9, KPop Demon Hunters:7",부정평/실망/과대평가
awful,0.0025416383508001465,0.8036446282261742,28,13,0.09590313187059411,-0.04475907648648343,3,2,5,5,4,2,6,1,"Red Notice:6, Everything Everywhere All at Once:5, Apex:5",부정평/실망/과대평가
saw,0.0025252697639285017,0.5865799064859539,46,10,0.14243316101953182,-0.12067498794540493,7,9,7,3,9,3,6,2,"Whiplash:9, F1 The Movie:9, KPop Demon Hunters:7",부정평/실망/과대평가
idea,0.0024872345939292028,0.5702931049975775,47,13,0.12957932023307103,-0.044170919242468853,6,9,10,8,4,1,4,5,"Everything Everywhere All at Once:10, Whiplash:9, Apex:8",부정평/실망/과대평가
try,0.002467522650388271,0.5416786547664205,47,10,0.12436314876086922,-0.0791712270326818,3,6,9,6,3,4,6,10,"Don't Look Up:10, Everything Everywhere All at Once:9, Whiplash:6",부정평/실망/과대평가
let,0.0024227830023483684,0.4416493194935325,56,2,0.13285062567785788,-0.06964287067912343,5,8,9,9,8,3,5,9,"Everything Everywhere All at Once:9, Apex:9, Don't Look Up:9",부정평/실망/과대평가
totally,0.0023372369722533316,0.6137825856363185,34,13,0.12371926776071164,-0.04577596177615884,4,4,7,2,9,0,5,3,"F1 The Movie:9, Everything Everywhere All at Once:7, Red Notice:5",부정평/실망/과대평가
unrealistic,0.002319215311664971,0.6907424268385847,28,13,0.09986331572558246,-0.07131817233485832,0,2,1,11,8,0,5,1,"Apex:11, F1 The Movie:8, Red Notice:5",부정평/실망/과대평가
gave,0.002294668705735349,0.6432363882356114,42,10,0.12254701932171291,-0.04821727970971556,5,6,9,6,3,2,7,4,"Everything Everywhere All at Once:9, Red Notice:7, Whiplash:6",부정평/실망/과대평가
guy,0.0022805126428491764,0.39085848102924947,48,2,0.1301769380272961,-0.0667915574991655,3,6,2,15,12,4,6,0,"Apex:15, F1 The Movie:12, Whiplash:6",부정평/실망/과대평가
simply,0.0022605103233327814,0.8051897525972164,38,10,0.1101061507824629,-0.08686020155419044,4,6,17,1,2,1,3,4,"Everything Everywhere All at Once:17, Whiplash:6, KPop Demon Hunters:4",부정평/실망/과대평가
effects,0.002218120850924872,0.7787398981425274,39,2,0.12098130621617657,-0.06034648466224378,1,6,10,3,7,1,8,3,"Everything Everywhere All at Once:10, Red Notice:8, F1 The Movie:7",부정평/실망/과대평가
kinda,0.0022095930218117513,1.0,27,13,0.11041132550676039,-0.05239337967672714,7,0,1,5,4,2,3,5,"KPop Demon Hunters:7, Apex:5, Don't Look Up:5",부정평/실망/과대평가
rest,0.002205553155343141,0.4850746293531154,38,2,0.1315892651473703,-0.07263562527128072,2,3,3,9,7,1,5,8,"Apex:9, Don't Look Up:8, F1 The Movie:7",부정평/실망/과대평가
help,0.0021791396348332416,0.7649492819179118,46,2,0.11791594433341865,-0.04008472414277558,7,2,7,7,7,2,7,7,"KPop Demon Hunters:7, Everything Everywhere All at Once:7, Apex:7",부정평/실망/과대평가
weird,0.002176479257965154,0.9095462727688137,32,13,0.1310420207369636,-0.052767003201624266,4,0,14,7,0,3,2,2,"Everything Everywhere All at Once:14, Apex:7, KPop Demon Hunters:4",부정평/실망/과대평가
disappointing,0.002172818579855374,0.5629355298558312,27,2,0.09558431892835415,-0.026477750875399084,1,2,1,6,5,0,9,3,"Red Notice:9, Apex:6, F1 The Movie:5",부정평/실망/과대평가
poor,0.0021591782931884834,0.5424957684888786,35,2,0.10715919308796469,-0.05363938072935437,3,1,5,9,7,0,8,2,"Apex:9, Red Notice:8, F1 The Movie:7",부정평/실망/과대평가
stop,0.002152674837783818,0.4796947889006719,38,10,0.13377167157449174,-0.07754267065854091,2,3,9,3,5,3,7,6,"Everything Everywhere All at Once:9, Red Notice:7, Don't Look Up:6",부정평/실망/과대평가
home,0.002143668803761088,0.5270632745746963,35,10,0.11058298723156879,-0.049081995776527394,2,3,3,5,7,6,1,8,"Don't Look Up:8, F1 The Movie:7, GOAT:6",부정평/실망/과대평가
average,0.002009090815217137,0.790048171357626,26,2,0.104166022361058,-0.04985173500203646,1,1,1,6,1,2,9,5,"Red Notice:9, Apex:6, Don't Look Up:5",부정평/실망/과대평가
stuff,0.0019368090793664633,0.5141632422045644,34,10,0.10690124212445129,-0.04581776672356447,3,3,8,6,5,1,4,4,"Everything Everywhere All at Once:8, Apex:6, F1 The Movie:5",부정평/실망/과대평가
fine,0.0018954015605761126,0.7816298971413967,27,2,0.09276704397804329,-0.0776070371266499,4,1,4,3,4,2,6,3,"Red Notice:6, KPop Demon Hunters:4, Everything Everywhere All at Once:4",부정평/실망/과대평가
eyes,0.0018933525707038078,0.6086135830304574,35,10,0.11258942446055488,-0.05587806336183123,6,2,15,4,1,3,2,2,"Everything Everywhere All at Once:15, KPop Demon Hunters:6, Apex:4",부정평/실망/과대평가
bored,0.0018275721524118114,0.6984779094585553,22,13,0.08191993250091051,-0.06047318686250927,2,4,2,6,0,2,5,1,"Apex:6, Red Notice:5, Whiplash:4",부정평/실망/과대평가
review,0.001820009027112654,0.4557198035631446,35,10,0.10270126404108344,-0.06696321866675002,5,0,6,6,2,2,7,7,"Red Notice:7, Don't Look Up:7, Everything Everywhere All at Once:6",부정평/실망/과대평가
place,0.001804631643732109,0.46843714906406175,37,10,0.09845290005314788,-0.07210271584126361,4,2,8,2,3,3,6,9,"Don't Look Up:9, Everything Everywhere All at Once:8, Red Notice:6",부정평/실망/과대평가
pure,0.0017900821591210181,0.6959733887724298,22,10,0.0694037174118652,-0.031258600661623254,1,3,4,2,3,3,3,3,"Everything Everywhere All at Once:4, Whiplash:3, F1 The Movie:3",부정평/실망/과대평가
looked,0.0017758136885230517,0.4475167815962765,32,10,0.09854583806414373,-0.04889128927291967,4,0,3,7,8,1,3,6,"F1 The Movie:8, Apex:7, Don't Look Up:6",부정평/실망/과대평가
emotions,0.001768038137348264,0.6382489764852138,28,10,0.10211205688771015,-0.03800291979262193,1,9,9,0,2,3,1,3,"Whiplash:9, Everything Everywhere All at Once:9, GOAT:3",부정평/실망/과대평가
cheesy,0.0017675980011456897,0.5542513720130053,24,2,0.08862874676450345,-0.038168623156847825,4,0,2,2,10,0,5,1,"F1 The Movie:10, Red Notice:5, KPop Demon Hunters:4",부정평/실망/과대평가
cgi,0.0017525408705576704,0.42478166832841613,30,2,0.09532360614293695,-0.056464123733846995,1,1,1,11,5,0,9,2,"Apex:11, Red Notice:9, F1 The Movie:5",부정평/실망/과대평가
hell,0.0017438496072027733,0.6550145763354488,25,10,0.08683649085019837,-0.045541328922847735,3,2,5,3,1,1,5,5,"Everything Everywhere All at Once:5, Red Notice:5, Don't Look Up:5",부정평/실망/과대평가
production,0.0017390480057254487,0.876882393956433,30,2,0.11359252525412798,0.0066887785264394765,2,3,4,5,8,2,3,3,"F1 The Movie:8, Apex:5, Everything Everywhere All at Once:4",부정평/실망/과대평가
cliche,0.0016966877266909653,0.5195083080889611,26,13,0.07780775871665696,-0.059523698860474324,2,0,3,4,6,2,8,1,"Red Notice:8, F1 The Movie:6, Apex:4",부정평/실망/과대평가
corny,0.0016916109993403389,0.6614364708836773,20,2,0.10203749847873604,-0.029569032026856727,6,0,2,0,5,0,6,1,"KPop Demon Hunters:6, Red Notice:6, F1 The Movie:5",부정평/실망/과대평가
mediocre,0.0016837290422811583,0.8216307311145867,23,2,0.06330607576556453,-0.03669970985734678,2,0,1,5,1,1,8,5,"Red Notice:8, Apex:5, Don't Look Up:5",부정평/실망/과대평가
picture,0.0016682243777462135,0.6054541311401916,29,10,0.08202764777010403,-0.09400051780028797,1,3,10,2,7,1,1,4,"Everything Everywhere All at Once:10, F1 The Movie:7, Don't Look Up:4",부정평/실망/과대평가
dont,0.0016374556196920883,0.746448950925776,18,10,0.1092993913987515,-0.018804515967751602,0,1,1,6,1,2,2,5,"Apex:6, Don't Look Up:5, GOAT:2",부정평/실망/과대평가
zero,0.0016203572761250837,0.46310946691520194,27,10,0.0829454629897979,-0.08362745071318411,2,1,4,9,4,1,5,1,"Apex:9, Red Notice:5, Everything Everywhere All at Once:4",부정평/실망/과대평가
meh,0.0016050039445300469,0.9257447931398237,14,2,0.047527671590774014,0.006995616093250881,0,1,1,3,3,2,3,1,"Apex:3, F1 The Movie:3, Red Notice:3",부정평/실망/과대평가
haven,0.0016011398954251406,0.8973454821194656,22,10,0.09672131516219866,-0.06904909589530973,2,5,6,3,1,3,1,1,"Everything Everywhere All at Once:6, Whiplash:5, Apex:3",부정평/실망/과대평가
awards,0.0015841788815363993,0.4209504159550474,26,10,0.08339134219662829,-0.04826851237799603,2,3,14,2,0,1,0,4,"Everything Everywhere All at Once:14, Don't Look Up:4, Whiplash:3",부정평/실망/과대평가
oh,0.0015502264732406555,0.9606854153081633,24,2,0.07391764963951915,-0.03557922986083391,4,4,1,4,5,0,2,4,"F1 The Movie:5, KPop Demon Hunters:4, Whiplash:4",부정평/실망/과대평가
couple,0.0015230186311543813,0.4541332585912934,25,2,0.09421396502977865,-0.015558382874470839,2,2,0,2,6,2,8,3,"Red Notice:8, F1 The Movie:6, Don't Look Up:3",부정평/실망/과대평가
huge,0.0015205208449194888,0.5486921192862356,33,2,0.09874731959198751,-0.03211522718170435,6,1,3,4,5,2,5,7,"Don't Look Up:7, KPop Demon Hunters:6, F1 The Movie:5",부정평/실망/과대평가
ended,0.0015174472199401283,0.46649489054149135,24,10,0.08718170123363168,-0.059087953848237985,2,1,7,2,2,3,3,4,"Everything Everywhere All at Once:7, Don't Look Up:4, GOAT:3",부정평/실망/과대평가
used,0.001511584782518424,0.49043641177093394,30,10,0.09434056422740505,-0.05044799268910045,2,2,2,4,4,4,4,8,"Don't Look Up:8, Apex:4, F1 The Movie:4",부정평/실망/과대평가
